table,cell,seed,method,sample,acc,nce
ER-Reg,sparse@0.05,0,chfgnn_proj,12,0.956,939.0
ER-Reg,sparse@0.05,0,chfgnn_proj,13,0.992,951.0
ER-Reg,sparse@0.05,0,chfgnn_proj,14,0.97,988.0
ER-Reg,sparse@0.05,0,chfgnn_proj,15,0.978,962.0
ER-Reg,sparse@0.05,0,chfgnn_proj,16,0.976,896.0
ER-Reg,sparse@0.05,0,chfgnn_proj,17,0.98,912.0
ER-Reg,sparse@0.05,0,chfgnn_proj,18,0.968,896.0
ER-Reg,sparse@0.05,0,chfgnn_proj,19,0.96,936.0
ER-Reg,sparse@0.05,0,chfgnn_proj,20,0.988,970.0
ER-Reg,sparse@0.05,0,chfgnn_proj,21,0.98,941.0
ER-Reg,sparse@0.05,0,chfgnn_proj,22,0.968,950.0
ER-Reg,sparse@0.05,0,chfgnn_proj,23,0.988,988.0
ER-Reg,sparse@0.05,0,chfgnn_proj,24,0.97,970.0
ER-Reg,sparse@0.05,0,chfgnn_proj,25,0.972,930.0
ER-Reg,sparse@0.05,0,chfgnn_proj,26,0.982,998.0
ER-Reg,sparse@0.05,0,chfgnn_proj,27,0.974,893.0
ER-Reg,sparse@0.05,0,chfgnn_proj,28,0.978,959.0
ER-Reg,sparse@0.05,0,chfgnn_proj,29,0.972,892.0
ER-Reg,sparse@0.05,0,chfgnn_faq,0,0.986,985.0
ER-Reg,sparse@0.05,0,chfgnn_faq,1,0.982,961.0
ER-Reg,sparse@0.05,0,chfgnn_faq,2,0.984,930.0
ER-Reg,sparse@0.05,0,chfgnn_faq,3,0.976,960.0
ER-Reg,sparse@0.05,0,chfgnn_faq,4,0.97,935.0
ER-Reg,sparse@0.05,0,chfgnn_faq,5,0.978,930.0
ER-Reg,sparse@0.05,0,chfgnn_faq,6,0.96,922.0
ER-Reg,sparse@0.05,0,chfgnn_faq,7,0.978,976.0
ER-Reg,sparse@0.05,0,chfgnn_faq,8,0.974,938.0
ER-Reg,sparse@0.05,0,chfgnn_faq,9,0.978,948.0
ER-Reg,sparse@0.05,0,chfgnn_faq,10,0.976,970.0
ER-Reg,sparse@0.05,0,chfgnn_faq,11,0.98,916.0
ER-Reg,sparse@0.05,0,chfgnn_faq,12,0.956,939.0
ER-Reg,sparse@0.05,0,chfgnn_faq,13,0.986,951.0
ER-Reg,sparse@0.05,0,chfgnn_faq,14,0.968,988.0
ER-Reg,sparse@0.05,0,chfgnn_faq,15,0.972,962.0
ER-Reg,sparse@0.05,0,chfgnn_faq,16,0.966,896.0
ER-Reg,sparse@0.05,0,chfgnn_faq,17,0.98,912.0
ER-Reg,sparse@0.05,0,chfgnn_faq,18,0.964,896.0
ER-Reg,sparse@0.05,0,chfgnn_faq,19,0.974,936.0
ER-Reg,sparse@0.05,0,chfgnn_faq,20,0.99,970.0
ER-Reg,sparse@0.05,0,chfgnn_faq,21,0.974,941.0
ER-Reg,sparse@0.05,0,chfgnn_faq,22,0.964,950.0
ER-Reg,sparse@0.05,0,chfgnn_faq,23,0.986,988.0
ER-Reg,sparse@0.05,0,chfgnn_faq,24,0.974,970.0
ER-Reg,sparse@0.05,0,chfgnn_faq,25,0.98,930.0
ER-Reg,sparse@0.05,0,chfgnn_faq,26,0.982,998.0
ER-Reg,sparse@0.05,0,chfgnn_faq,27,0.976,893.0
ER-Reg,sparse@0.05,0,chfgnn_faq,28,0.978,959.0
ER-Reg,sparse@0.05,0,chfgnn_faq,29,0.972,892.0
ER-Reg,sparse@0.1,0,proj_dcx,0,0.94,914.0
ER-Reg,sparse@0.1,0,proj_dcx,1,0.97,917.0
ER-Reg,sparse@0.1,0,proj_dcx,2,0.918,829.0
ER-Reg,sparse@0.1,0,proj_dcx,3,0.842,775.0
ER-Reg,sparse@0.1,0,proj_dcx,4,0.93,863.0
ER-Reg,sparse@0.1,0,proj_dcx,5,0.854,767.0
ER-Reg,sparse@0.1,0,proj_dcx,6,0.898,826.0
ER-Reg,sparse@0.1,0,proj_dcx,7,0.9,872.0
ER-Reg,sparse@0.1,0,proj_dcx,8,0.888,834.0
ER-Reg,sparse@0.1,0,proj_dcx,9,0.894,824.0
ER-Reg,sparse@0.1,0,proj_dcx,10,0.92,885.0
ER-Reg,sparse@0.1,0,proj_dcx,11,0.916,833.0
ER-Reg,sparse@0.1,0,proj_dcx,12,0.91,865.0
ER-Reg,sparse@0.1,0,proj_dcx,13,0.952,893.0
ER-Reg,sparse@0.1,0,proj_dcx,14,0.914,899.0
ER-Reg,sparse@0.1,0,proj_dcx,15,0.914,876.0
ER-Reg,sparse@0.1,0,proj_dcx,16,0.866,782.0
ER-Reg,sparse@0.1,0,proj_dcx,17,0.922,825.0
ER-Reg,sparse@0.1,0,proj_dcx,18,0.828,747.0
ER-Reg,sparse@0.1,0,proj_dcx,19,0.912,861.0
ER-Reg,sparse@0.1,0,proj_dcx,20,0.894,846.0
ER-Reg,sparse@0.1,0,proj_dcx,21,0.922,869.0
ER-Reg,sparse@0.1,0,proj_dcx,22,0.926,884.0
ER-Reg,sparse@0.1,0,proj_dcx,23,0.932,923.0
ER-Reg,sparse@0.1,0,proj_dcx,24,0.888,872.0
ER-Reg,sparse@0.1,0,proj_dcx,25,0.93,860.0
ER-Reg,sparse@0.1,0,proj_dcx,26,0.912,884.0
ER-Reg,sparse@0.1,0,proj_dcx,27,0.874,762.0
ER-Reg,sparse@0.1,0,proj_dcx,28,0.938,881.0
ER-Reg,sparse@0.1,0,proj_dcx,29,0.92,815.0
ER-Reg,sparse@0.1,0,faq_dcx,0,0.986,935.0
ER-Reg,sparse@0.1,0,faq_dcx,1,0.982,922.0
ER-Reg,sparse@0.1,0,faq_dcx,2,0.968,869.0
ER-Reg,sparse@0.1,0,faq_dcx,3,0.968,900.0
ER-Reg,sparse@0.1,0,faq_dcx,4,0.96,901.0
ER-Reg,sparse@0.1,0,faq_dcx,5,0.96,888.0
ER-Reg,sparse@0.1,0,faq_dcx,6,0.96,864.0
ER-Reg,sparse@0.1,0,faq_dcx,7,0.956,923.0
ER-Reg,sparse@0.1,0,faq_dcx,8,0.95,881.0
ER-Reg,sparse@0.1,0,faq_dcx,9,0.97,878.0
ER-Reg,sparse@0.1,0,faq_dcx,10,0.968,922.0
ER-Reg,sparse@0.1,0,faq_dcx,11,0.974,868.0
ER-Reg,sparse@0.1,0,faq_dcx,12,0.954,890.0
ER-Reg,sparse@0.1,0,faq_dcx,13,0.958,906.0
ER-Reg,sparse@0.1,0,faq_dcx,14,0.964,937.0
ER-Reg,sparse@0.1,0,faq_dcx,15,0.97,918.0
